JOURNAL ENTRY NO	PERIOD/YEAR	JOURNAL ENTRY DESCRIPTION	DIVISION	ACCOUNT	TASK	ACCOUNT	DESCRIPTION	DATE	DEBIT	CREDIT
1187	3/20	UB TRANSACTIONS	450	115410				12/23/19	0	95.5
1188	3/20	UB TRANSACTIONS	440	101010				12/30/19	25	0
1188	3/20	UB TRANSACTIONS	440	115410				12/30/19	0	25
1189	3/20	UB TRANSACTIONS	440	101010				12/31/19	5379.74	0
1189	3/20	UB TRANSACTIONS	450	101010				12/31/19	4140.74	0
1189	3/20	UB TRANSACTIONS	440	115410				12/31/19	0	5379.74
1189	3/20	UB TRANSACTIONS	450	115410				12/31/19	0	4140.74
119	1/20	UB TRANSACTIONS	440	101010				10/10/19	571.28	0
119	1/20	UB TRANSACTIONS	450	343800				10/10/19	72.22	0
119	1/20	UB TRANSACTIONS	440	343310				10/10/19	8.81	0
119	1/20	UB TRANSACTIONS	440	343510				10/10/19	8.81	0
119	1/20	UB TRANSACTIONS	440	369901				10/10/19	1.4	0
119	1/20	UB TRANSACTIONS	440	220166				10/10/19	0	571.28
119	1/20	UB TRANSACTIONS	450	115410				10/10/19	0	72.22
119	1/20	UB TRANSACTIONS	440	115410				10/10/19	0	19.02
1191	3/20	LAND INTERFACE	001	101010				12/31/19	725	0
1191	3/20	LAND INTERFACE	001	321050				12/31/19	0	425
1191	3/20	LAND INTERFACE	001	322410				12/31/19	0	300
1192	4/20	UB TRANSACTIONS	440	101010				01/02/20	105.41	0
1192	4/20	UB TRANSACTIONS	450	101010				01/02/20	96	0
1192	4/20	UB TRANSACTIONS	440	115410				01/02/20	0	105.41
1192	4/20	UB TRANSACTIONS	450	115410				01/02/20	0	96
1206	4/20	LAND INTERFACE	001	101010				01/02/20	625	0
1206	4/20	LAND INTERFACE	001	321050				01/02/20	0	325
1206	4/20	LAND INTERFACE	001	322410				01/02/20	0	300
1215	4/20	CE TRANSACTIONS	001	101010				01/02/20	1222.67	0
1215	4/20	CE TRANSACTIONS	001	354100				01/02/20	0	1222.67
1216	4/20	ADJ BOND PRINC  INT EXP	83	513711				01/07/20	688.67	0
1216	4/20	ADJ BOND PRINC  INT EXP	83	513721				01/07/20	0	688.65
1216	4/20	ADJ BOND PRINC  INT EXP	230	103213				01/07/20	0	0.02
1223	4/20	LAND INTERFACE	001	101010				01/03/20	1426.25	0
1223	4/20	LAND INTERFACE	001	322410				01/03/20	0	750
1223	4/20	LAND INTERFACE	001	321050				01/03/20	0	676.25
1227	4/20	LAND INTERFACE	001	101010				01/06/20	1525	0
1227	4/20	LAND INTERFACE	001	322410				01/06/20	0	900
1227	4/20	LAND INTERFACE	001	321050				01/06/20	0	625
128	1/20	UB TRANSACTIONS	440	101010				10/10/19	421.97	0
128	1/20	UB TRANSACTIONS	450	101010				10/10/19	395.32	0
128	1/20	UB TRANSACTIONS	440	115410				10/10/19	0	421.97
128	1/20	UB TRANSACTIONS	450	115410				10/10/19	0	395.32
129	1/20	UB TRANSACTIONS	440	220166				10/10/19	98.84	0
129	1/20	UB TRANSACTIONS	440	115410				10/10/19	0	98.84
1292	2/20	TRANSFER2015AB REV 11/19	001	207230			NOV 2019 FPL REVENUES	11/30/19	136170.37	0
1292	2/20	TRANSFER2015AB REV 11/19	230	103215			NOV 2019 FPL REVENUES	11/30/19	136170.37	0
1292	2/20	TRANSFER2015AB REV 11/19	001	207230			NOV 2019 COMM TAXES	11/30/19	34424.3	0
1292	2/20	TRANSFER2015AB REV 11/19	230	103215			NOV 2019 COMM TAXES	11/30/19	34424.3	0
1292	2/20	TRANSFER2015AB REV 11/19	001	101010			NOV 2019 FPL REVENUES	11/30/19	0	136170.37
1292	2/20	TRANSFER2015AB REV 11/19	230	131001			NOV 2019 FPL REVENUES	11/30/19	0	136170.37
1292	2/20	TRANSFER2015AB REV 11/19	001	101010			NOV 2019 COMM TAXES	11/30/19	0	34424.3
1292	2/20	TRANSFER2015AB REV 11/19	230	131001			NOV 2019 COMM TAXES	11/30/19	0	34424.3
1293	2/20	MONTHLY2015AB BOND PMT	230	103213			TRANS FR TAX REV TO PMT	11/30/19	43601.07	0
1293	2/20	MONTHLY2015AB BOND PMT	83	513721			MTHLY 2015 BND PMT 11/19	11/30/19	16150.81	0
1293	2/20	MONTHLY2015AB BOND PMT	83	513711			MTHLY 2015 BND PMT 11/19	11/30/19	11510.34	0
1293	2/20	MONTHLY2015AB BOND PMT	83	513711			MTHLY 2015 BND PMT 11/19	11/30/19	9223.58	0
1293	2/20	MONTHLY2015AB BOND PMT	83	513721			MTHLY 2015 BND PMT 11/19	11/30/19	6716.34	0
1293	2/20	MONTHLY2015AB BOND PMT	230	103213			MTHLY 2015 BND PMT 11/19	11/30/19	0	43601.07
1293	2/20	MONTHLY2015AB BOND PMT	230	103215			TRANS FR TAX REV TO PMT	11/30/19	0	43601.07
1294	1/20	TRANS AUG-OCT 19 REVENUES	001	207230			FPL REVENUE	10/30/19	142321.66	0
1294	1/20	TRANS AUG-OCT 19 REVENUES	230	103215			FPL REVENUE	10/30/19	142321.66	0
1294	1/20	TRANS AUG-OCT 19 REVENUES	001	207230			FPL REVENUE	10/30/19	137860.9	0
1294	1/20	TRANS AUG-OCT 19 REVENUES	230	103215			FPL REVENUE	10/30/19	137860.9	0
1294	1/20	TRANS AUG-OCT 19 REVENUES	001	207230			FPL REVENUE	10/30/19	133958.83	0
1294	1/20	TRANS AUG-OCT 19 REVENUES	230	103215			FPL REVENUE	10/30/19	133958.83	0
1294	1/20	TRANS AUG-OCT 19 REVENUES	001	207230			COMMUNICATION TAX REV	10/30/19	33301.02	0
1294	1/20	TRANS AUG-OCT 19 REVENUES	230	103215			COMMUNICATION TAX REV	10/30/19	33301.02	0
1294	1/20	TRANS AUG-OCT 19 REVENUES	001	207230			COMMUNICATION TAX REV	10/30/19	33266.35	0
1294	1/20	TRANS AUG-OCT 19 REVENUES	230	103215			COMMUNICATION TAX REV	10/30/19	33266.35	0
1294	1/20	TRANS AUG-OCT 19 REVENUES	001	207230			COMMUNICATION TAX REV	10/30/19	32982.77	0
1294	1/20	TRANS AUG-OCT 19 REVENUES	230	103215			COMMUNICATION TAX REV	10/30/19	32982.77	0
1294	1/20	TRANS AUG-OCT 19 REVENUES	001	101010			FPL REVENUE	10/30/19	0	142321.66
1294	1/20	TRANS AUG-OCT 19 REVENUES	230	131001			FPL REVENUE	10/30/19	0	142321.66
1294	1/20	TRANS AUG-OCT 19 REVENUES	001	101010			FPL REVENUE	10/30/19	0	137860.9
1294	1/20	TRANS AUG-OCT 19 REVENUES	230	131001			FPL REVENUE	10/30/19	0	137860.9
1294	1/20	TRANS AUG-OCT 19 REVENUES	001	101010			FPL REVENUE	10/30/19	0	133958.83
1294	1/20	TRANS AUG-OCT 19 REVENUES	230	131001			FPL REVENUE	10/30/19	0	133958.83
1294	1/20	TRANS AUG-OCT 19 REVENUES	001	101010			COMMUNICATION TAX REV	10/30/19	0	33301.02
1294	1/20	TRANS AUG-OCT 19 REVENUES	230	131001			COMMUNICATION TAX REV	10/30/19	0	33301.02
1294	1/20	TRANS AUG-OCT 19 REVENUES	001	101010			COMMUNICATION TAX REV	10/30/19	0	33266.35
1294	1/20	TRANS AUG-OCT 19 REVENUES	230	131001			COMMUNICATION TAX REV	10/30/19	0	33266.35
1294	1/20	TRANS AUG-OCT 19 REVENUES	001	101010			COMMUNICATION TAX REV	10/30/19	0	32982.77
1294	1/20	TRANS AUG-OCT 19 REVENUES	230	131001			COMMUNICATION TAX REV	10/30/19	0	32982.77
1295	1/20	MONTHLY 2015 BOND PMT	230	103213			TRANSFER FRM #4841 T#4854	10/31/19	43601.07	0
1295	1/20	MONTHLY 2015 BOND PMT	83	513721			2015 AB BOND PMT	10/31/19	16191.42	0
1295	1/20	MONTHLY 2015 BOND PMT	83	513711			2015 AB BOND PMT	10/31/19	11469.73	0
1295	1/20	MONTHLY 2015 BOND PMT	83	513711			2015 AB BOND PMT	10/31/19	9203.26	0
1295	1/20	MONTHLY 2015 BOND PMT	83	513721			2015 AB BOND PMT	10/31/19	6736.66	0
1295	1/20	MONTHLY 2015 BOND PMT	230	103213			2015 AB BOND PMT	10/31/19	0	43601.07
1295	1/20	MONTHLY 2015 BOND PMT	230	103215			TRANSFER FRM #4841 T#4854	10/31/19	0	43601.07
1297	1/20	CASH TRANS 10/4/19	001	101020			TRANS FOR PAYROLL	10/04/19	256521.86	0
1297	1/20	CASH TRANS 10/4/19	001	101010			RLC FROM ATS	10/04/19	21829	0
1297	1/20	CASH TRANS 10/4/19	001	101020			TRANSF FOR PAYROLL	10/04/19	1985.32	0
1297	1/20	CASH TRANS 10/4/19	001	321050			"""BEST GAMES"" RETURNED ITM"	10/04/19	930	0
1297	1/20	CASH TRANS 10/4/19	17	513520			RETURNED ITEM FEE #1342	10/04/19	10	0
1297	1/20	CASH TRANS 10/4/19	001	101010			TRANS FOR PAYROLL	10/04/19	0	256521.86
1297	1/20	CASH TRANS 10/4/19	001	354140			RLC FROM ATS	10/04/19	0	21829
1297	1/20	CASH TRANS 10/4/19	001	101010			TRANSF FOR PAYROLL	10/04/19	0	1985.32
1297	1/20	CASH TRANS 10/4/19	001	101010			"""BEST GAMES"" RETURNED ITM"	10/04/19	0	930
1297	1/20	CASH TRANS 10/4/19	001	101010			RETURNED ITEM FEE #1342	10/04/19	0	10
130	1/20	UB TRANSACTIONS	440	101010				10/11/19	203.95	0
130	1/20	UB TRANSACTIONS	450	101010				10/11/19	121.85	0
130	1/20	UB TRANSACTIONS	440	115410				10/11/19	0	203.95
130	1/20	UB TRANSACTIONS	450	115410				10/11/19	0	121.85
1300	4/20	POST CASH TRANS 10/12/19	001	101010			RLC ATS	01/10/20	22244	0
1300	4/20	POST CASH TRANS 10/12/19	001	101010			MIAMI DADE TAX COLLECTOR	01/10/20	6834.52	0
1300	4/20	POST CASH TRANS 10/12/19	001	101010			EXCESS FUNDS RET TO GENFD	01/10/20	2442.2	0
1300	4/20	POST CASH TRANS 10/12/19	001	101020			PAYROLL TRANSF	01/10/20	1798.67	0
1300	4/20	POST CASH TRANS 10/12/19	001	321050			RETURNED ITEM #1560	01/10/20	250	0
1300	4/20	POST CASH TRANS 10/12/19	001	322410			RETURNED ITEM #1560	01/10/20	150	0
1300	4/20	POST CASH TRANS 10/12/19	001	322410			RETURNED ITEM #1061	01/10/20	150	0
1300	4/20	POST CASH TRANS 10/12/19	001	321050			RETURNED ITEM #1061	01/10/20	75	0
1300	4/20	POST CASH TRANS 10/12/19	17	513520			RETURNED ITEM FEE	01/10/20	10	0
1300	4/20	POST CASH TRANS 10/12/19	17	513520			RETURNED ITEM FEE	01/10/20	10	0
1300	4/20	POST CASH TRANS 10/12/19	001	354140			RLC ATS	01/10/20	0	22244
1300	4/20	POST CASH TRANS 10/12/19	001	338200			MIAMI DADE TAX COLLECTOR	01/10/20	0	3916.91
1300	4/20	POST CASH TRANS 10/12/19	001	311100			MIAMI DADE TAX COLLECTOR	01/10/20	0	2917.61
1300	4/20	POST CASH TRANS 10/12/19	001	101020			EXCESS FUNDS RET TO GENFD	01/10/20	0	2442.2
1300	4/20	POST CASH TRANS 10/12/19	001	101010			PAYROLL TRANSF	01/10/20	0	1798.67
1300	4/20	POST CASH TRANS 10/12/19	001	101010			RETURNED ITEM #1560	01/10/20	0	400
1300	4/20	POST CASH TRANS 10/12/19	001	101010			RETURNED ITEM #1061	01/10/20	0	225
1300	4/20	POST CASH TRANS 10/12/19	001	101010			RETURNED ITEM FEE	01/10/20	0	10
1300	4/20	POST CASH TRANS 10/12/19	001	101010			RETURNED ITEM FEE	01/10/20	0	10
1425	1/20	POST CASH TRANS 10/19/19	001	101010			WATER & SEWER PAYROLL	10/19/19	468995	0
1425	1/20	POST CASH TRANS 10/19/19	440	207001			WATER & SEWER PAYROLL	10/19/19	468995	0
1425	1/20	POST CASH TRANS 10/19/19	001	101020			PAYROLL TRANSFER	10/19/19	242158.93	0
1425	1/20	POST CASH TRANS 10/19/19	001	101010			RED LIGHT CAMERA REVENUE	10/19/19	75031.92	0
1425	1/20	POST CASH TRANS 10/19/19	001	101010			CTT REIMB RECEIVED	10/19/19	30000	0
1425	1/20	POST CASH TRANS 10/19/19	176	131001			CTT REIMB RECEIVED	10/19/19	30000	0
1425	1/20	POST CASH TRANS 10/19/19	001	101010			RED LIGHT CAMERA REVENUE	10/19/19	20283.52	0
1425	1/20	POST CASH TRANS 10/19/19	001	101020			PAYROLL TRANSFER	10/19/19	2811.32	0
1425	1/20	POST CASH TRANS 10/19/19	001	101010			WATER BILL PMT	10/19/19	804.79	0
1425	1/20	POST CASH TRANS 10/19/19	440	131001			WATER BILL PMT	10/19/19	804.79	0
1425	1/20	POST CASH TRANS 10/19/19	001	321050			CHECK 1086 RETURNED	10/19/19	500	0
1425	1/20	POST CASH TRANS 10/19/19	001	322410			CHECK 1086 RETURNED	10/19/19	300	0
1425	1/20	POST CASH TRANS 10/19/19	17	513520			MONTHLY BANK FEE	10/19/19	161.23	0
1425	1/20	POST CASH TRANS 10/19/19	17	513520			RETURN ITEM FEE	10/19/19	10	0
1425	1/20	POST CASH TRANS 10/19/19	001	131440			WATER & SEWER PAYROLL	10/19/19	0	468995
1425	1/20	POST CASH TRANS 10/19/19	440	101010			WATER & SEWER PAYROLL	10/19/19	0	468995
1425	1/20	POST CASH TRANS 10/19/19	001	101010			PAYROLL TRANSFER	10/19/19	0	242158.93
1425	1/20	POST CASH TRANS 10/19/19	001	354140			RED LIGHT CAMERA REVENUE	10/19/19	0	75031.92
1425	1/20	POST CASH TRANS 10/19/19	001	207176			CTT REIMB RECEIVED	10/19/19	0	30000
1425	1/20	POST CASH TRANS 10/19/19	001	354140			RED LIGHT CAMERA REVENUE	10/19/19	0	20283.52
1425	1/20	POST CASH TRANS 10/19/19	176	133131			CTT REIMB RECEIVED	10/19/19	0	15000
1425	1/20	POST CASH TRANS 10/19/19	176	133131			CTT REIMB RECEIVED	10/19/19	0	15000
1425	1/20	POST CASH TRANS 10/19/19	001	101010			PAYROLL TRANSFER	10/19/19	0	2811.32
1425	1/20	POST CASH TRANS 10/19/19	001	207440			WATER BILL PMT	10/19/19	0	804.79
1425	1/20	POST CASH TRANS 10/19/19	440	369900			WATER BILL PMT	10/19/19	0	804.79
1425	1/20	POST CASH TRANS 10/19/19	001	101010			CHECK 1086 RETURNED	10/19/19	0	800
1425	1/20	POST CASH TRANS 10/19/19	001	101010			MONTHLY BANK FEE	10/19/19	0	161.23
1425	1/20	POST CASH TRANS 10/19/19	001	101010			RETURN ITEM FEE	10/19/19	0	10
1497	1/20	POST CASH TRANS 10/26/19	001	101010			FPL UTILITY TAX REVENUE	10/26/19	137860.9	0
1497	1/20	POST CASH TRANS 10/26/19	230	131001			FPL UTILITY TAX REVENUE	10/26/19	137860.9	0
1497	1/20	POST CASH TRANS 10/26/19	001	101010			COMMUNICATION TAX REVENUE	10/26/19	33301.02	0
1497	1/20	POST CASH TRANS 10/26/19	230	131001			COMMUNICATION TAX REVENUE	10/26/19	33301.02	0
1497	1/20	POST CASH TRANS 10/26/19	001	101010			RED LIGHT CAMERA REVENUE	10/26/19	22379.53	0
1497	1/20	POST CASH TRANS 10/26/19	320	101010			GAS TAX REVENUE	10/26/19	20635.89	0
1497	1/20	POST CASH TRANS 10/26/19	320	101010			GAS TAX REVENUE	10/26/19	7748.69	0
1497	1/20	POST CASH TRANS 10/26/19	001	207230			FPL UTILITY TAX REVENUE	10/26/19	0	137860.9
1497	1/20	POST CASH TRANS 10/26/19	230	314100			FPL UTILITY TAX REVENUE	10/26/19	0	137860.9
1497	1/20	POST CASH TRANS 10/26/19	001	207230			COMMUNICATION TAX REVENUE	10/26/19	0	33301.02
1497	1/20	POST CASH TRANS 10/26/19	230	314500			COMMUNICATION TAX REVENUE	10/26/19	0	33301.02
1497	1/20	POST CASH TRANS 10/26/19	001	354140			RED LIGHT CAMERA REVENUE	10/26/19	0	22379.53
1497	1/20	POST CASH TRANS 10/26/19	320	312405			GAS TAX REVENUE	10/26/19	0	20635.89
1497	1/20	POST CASH TRANS 10/26/19	320	312410			GAS TAX REVENUE	10/26/19	0	7748.69
1499	4/20	POST CASH 10/31/19	001	101020			PAYROLL TRANSFER	01/10/20	242854.34	0
1499	4/20	POST CASH 10/31/19	001	101010			FPL FRANCHISE FEE	01/10/20	117071.22	0
1499	4/20	POST CASH 10/31/19	001	101010			LOCAL GOV 1/2 CENT SALES	01/10/20	109772.25	0
1499	4/20	POST CASH 10/31/19	230	131001			LOCAL GOV 1/2 CENT SALES	01/10/20	109772.25	0
1499	4/20	POST CASH 10/31/19	001	101010			RED LIGHT CAMERA REVENUES	01/10/20	18177	0
1499	4/20	POST CASH 10/31/19	001	218124			BMG PAYROLL 6/12-10/30	01/10/20	3906.4	0
1499	4/20	POST CASH 10/31/19	001	218124			BMG PAYROLL 6/12-10/30	01/10/20	3708.35	0
1499	4/20	POST CASH 10/31/19	001	218124			BMG PAYROLL 6/12-10/30	01/10/20	3648.05	0
1499	4/20	POST CASH 10/31/19	001	218124			BMG PAYROLL 6/12-10/30	01/10/20	3648.05	0
1499	4/20	POST CASH 10/31/19	001	218124			BMG PAYROLL 6/12-10/30	01/10/20	3607.65	0
1499	4/20	POST CASH 10/31/19	001	218124			BMG PAYROLL 6/12-10/30	01/10/20	3535.4	0
1499	4/20	POST CASH 10/31/19	001	218124			BMG PAYROLL 6/12-10/30	01/10/20	3535.36	0
1499	4/20	POST CASH 10/31/19	001	218124			BMG PAYROLL 6/12-10/30	01/10/20	3452.75	0
1499	4/20	POST CASH 10/31/19	001	218124			BMG PAYROLL 6/12-10/30	01/10/20	3452.37	0
1499	4/20	POST CASH 10/31/19	001	218124			BMG PAYROLL 6/12-10/30	01/10/20	3452.13	0
1499	4/20	POST CASH 10/31/19	001	218124			BMG PAYROLL 6/12-10/30	01/10/20	3298.32	0
1499	4/20	POST CASH 10/31/19	001	101020			ICMA JUN-OCT 19	01/10/20	3207.78	0
1499	4/20	POST CASH 10/31/19	001	218105			ICMA JUN-OCT 19	01/10/20	3012.69	0
1499	4/20	POST CASH 10/31/19	001	218105			ICMA JUN-OCT 19	01/10/20	2008.46	0
1499	4/20	POST CASH 10/31/19	001	218105			ICMA JUN-OCT 19	01/10/20	2008.46	0
1499	4/20	POST CASH 10/31/19	001	218105			ICMA JUN-OCT 19	01/10/20	2008.46	0
1499	4/20	POST CASH 10/31/19	001	218105			ICMA JUN-OCT 19	01/10/20	2008.46	0
1499	4/20	POST CASH 10/31/19	001	101010			PAYROLL TRANSFER	01/10/20	0	242854.34
1499	4/20	POST CASH 10/31/19	001	313100			FPL FRANCHISE FEE	01/10/20	0	117071.22
1499	4/20	POST CASH 10/31/19	001	207230			LOCAL GOV 1/2 CENT SALES	01/10/20	0	109772.25
1499	4/20	POST CASH 10/31/19	230	335180			LOCAL GOV 1/2 CENT SALES	01/10/20	0	109772.25
1499	4/20	POST CASH 10/31/19	001	354140			RED LIGHT CAMERA REVENUES	01/10/20	0	18177
1499	4/20	POST CASH 10/31/19	001	101010			BMG PAYROLL 6/12-10/30	01/10/20	0	3906.4
1499	4/20	POST CASH 10/31/19	001	101010			BMG PAYROLL 6/12-10/30	01/10/20	0	3708.35
1499	4/20	POST CASH 10/31/19	001	101010			BMG PAYROLL 6/12-10/30	01/10/20	0	3648.05
1499	4/20	POST CASH 10/31/19	001	101010			BMG PAYROLL 6/12-10/30	01/10/20	0	3648.05
1499	4/20	POST CASH 10/31/19	001	101010			BMG PAYROLL 6/12-10/30	01/10/20	0	3607.65
1499	4/20	POST CASH 10/31/19	001	101010			BMG PAYROLL 6/12-10/30	01/10/20	0	3535.4
1499	4/20	POST CASH 10/31/19	001	101010			BMG PAYROLL 6/12-10/30	01/10/20	0	3535.36
1499	4/20	POST CASH 10/31/19	001	101010			BMG PAYROLL 6/12-10/30	01/10/20	0	3452.75
1499	4/20	POST CASH 10/31/19	001	101010			BMG PAYROLL 6/12-10/30	01/10/20	0	3452.37
1499	4/20	POST CASH 10/31/19	001	101010			BMG PAYROLL 6/12-10/30	01/10/20	0	3452.13
1499	4/20	POST CASH 10/31/19	001	101010			BMG PAYROLL 6/12-10/30	01/10/20	0	3298.32
1499	4/20	POST CASH 10/31/19	001	101010			ICMA JUN-OCT 19	01/10/20	0	3207.78
1499	4/20	POST CASH 10/31/19	001	101010			ICMA JUN-OCT 19	01/10/20	0	3012.69
1499	4/20	POST CASH 10/31/19	001	101010			ICMA JUN-OCT 19	01/10/20	0	2008.46
1499	4/20	POST CASH 10/31/19	001	101010			ICMA JUN-OCT 19	01/10/20	0	2008.46
1499	4/20	POST CASH 10/31/19	001	101010			ICMA JUN-OCT 19	01/10/20	0	2008.46
1499	4/20	POST CASH 10/31/19	001	101010			ICMA JUN-OCT 19	01/10/20	0	2008.46
1507	3/20	MONTHLY BOND PMT 12/31/19	230	103213			2015AB BOND PMT	12/31/19	43601.07	0
1507	3/20	MONTHLY BOND PMT 12/31/19	83	513721			2015AB BOND PMT	12/31/19	16110.04	0
1507	3/20	MONTHLY BOND PMT 12/31/19	83	513711			2015AB BOND PMT	12/31/19	11551.11	0
1507	3/20	MONTHLY BOND PMT 12/31/19	83	513711			2015AB BOND PMT	12/31/19	9243.95	0
1507	3/20	MONTHLY BOND PMT 12/31/19	83	513721			2015AB BOND PMT	12/31/19	6695.97	0
1507	3/20	MONTHLY BOND PMT 12/31/19	230	103213			2015AB BOND PMT	12/31/19	0	43601.07
1507	3/20	MONTHLY BOND PMT 12/31/19	230	103215			2015AB BOND PMT	12/31/19	0	43601.07
1508	3/20	MONTHLY BOND PMT 12/31/19	001	207230			DEC 19 FPL	12/31/19	120815.99	0
1508	3/20	MONTHLY BOND PMT 12/31/19	230	103215			DEC 19 FPL	12/31/19	120815.99	0
1508	3/20	MONTHLY BOND PMT 12/31/19	001	207230			DEC 19 COMM TAXES	12/31/19	41745.99	0
1508	3/20	MONTHLY BOND PMT 12/31/19	230	103215			DEC 19 COMM TAXES	12/31/19	41745.99	0
1508	3/20	MONTHLY BOND PMT 12/31/19	001	101010			DEC 19 FPL	12/31/19	0	120815.99
1508	3/20	MONTHLY BOND PMT 12/31/19	230	131001			DEC 19 FPL	12/31/19	0	120815.99
1508	3/20	MONTHLY BOND PMT 12/31/19	001	101010			DEC 19 COMM TAXES	12/31/19	0	41745.99
1508	3/20	MONTHLY BOND PMT 12/31/19	230	131001			DEC 19 COMM TAXES	12/31/19	0	41745.99
1532	4/20	UB TRANSACTIONS	440	101010				01/03/20	50	0
1532	4/20	UB TRANSACTIONS	450	101010				01/03/20	50	0
1532	4/20	UB TRANSACTIONS	440	115410				01/03/20	0	50
1532	4/20	UB TRANSACTIONS	450	115410				01/03/20	0	50
1539	4/20	UB TRANSACTIONS	440	101010				01/06/20	59.46	0
1539	4/20	UB TRANSACTIONS	450	101010				01/06/20	40.54	0
1539	4/20	UB TRANSACTIONS	440	115410				01/06/20	0	59.46
1539	4/20	UB TRANSACTIONS	450	115410				01/06/20	0	40.54
1542	4/20	UB TRANSACTIONS	440	101010				01/07/20	553.8	0
